biog_id	x姓名	name	generation	inferred_choronym
E402648	白元珣	Paek Wŏn'gu	16	
E301945	白仲信	Paek Chungsin	18	
EA01489	邊保	Pyŏn Po	18	
d11fbbcd-dc16-483a-b14c-fe9c71bdf0a0	邊處安		19	
EA00531	邊處寬		19	
EB00503	邊處寬		20	
EA00568	邊處寧		19	
81cacc31-af04-41b8-8b82-d1e023177099	邊陲		19	
E300304	邊大海	Pyŏn Taehae	20	
EA01441	邊德順	Pyŏn Tŏksun	18	
EA00606	邊煥		19	
E402620	邊靜	Pyŏn Chŏng	17	
EA00528	邊克忠		18	1
EC01938	邊崑	Pyŏn Kon	19	
E300303	邊崙	Pyŏn Ryun	20	
E300171	邊尙覲	Pyŏn Sanggŭn	18	
E401270	邊尙同	Pyŏn Sangdong	17	
E401006	邊尙轉	Pyŏn Sangbing	18	
0d2feaa0-30c3-40aa-bd9f-4230ee4d8185	邊生順		18	
EA01493	邊石崙	Pyŏn Sŏngnyun	18	
E901664	邊希達	Pyŏn Hŭidal	18	
E301521	邊希哲		20	
E401206	邊顯		17	
EA00264	邊祥	Pyŏn Sang	20	
EA01440	邊孝順	Pyŏn Hyosun	18	
E300170	邊孝同	Pyŏn Hyodong	19	
EB03308	邊永淸	Pyŏn Yŏngch'ŏng	20	
EA01312	邊佑	Pyŏn U	21	
E905132	邊致安	Pyŏn Ch'ian	19	
EB00797	卞丞袒	Pyŏn Sŭngdan	19	
E301466	卞範	Pyŏn Pŏm	20	
E905170	卞季良		17	
E802547	卞季欽	Pyŏn Kyehŭm	17	
E808055	卞句	Pyŏn Ku	17	
E102827	卞鈞	Pyŏn Kyun	18	
D206613	卞南龍	Pyŏn Namnyong	15	
EB04377	卞瑞	Pyŏn Sŏ	18	
E102830	卞諴	Pyŏn Ham	19	
EB04369	卞孝敬	Pyŏn Hyogyŏng	16	
EB04376	卞孝文	Pyŏn Hyomun	16	
E900061	卞鐔	Pyŏn Sim	21	
E903485	卞瓚	Pyŏn Ch'an	18	
EB04378	卞珍	Pyŏn Chin	18	
E902423	卜承亨	Pok Sŭnghyŏng	18	
E902435	卜彭孫	Pok P'aengson	20	
E402308	蔡安敬	Ch'ae An'gyŏng	17	
E104858	蔡疇	Ch'ae Chu	18	
E202223	蔡河沉	Ch'ae Hach'im	19	
E202229	蔡河生	Ch'ae Hasaeng	19	
E807710	蔡可文	Ch'ae Kamun	16	
E402031	蔡克敬	Ch'ae Kŭkkyŏng	17	
E402507	蔡倫	Ch'ae Ryun	17	
EC01238	蔡年	Ch'ae Nyŏn	19	
E402456	蔡浦	Ch'ae P'o	17	
E205542	蔡任檢	Ch'ae In'gŏm	19	
E205541	蔡任紹	Ch'ae Imso	18	
E100114	蔡申保	Ch'ae Sinbo	18	
E205574	蔡申福	Ch'ae Sinbok	18	
E205558	蔡申命	Ch'ae Sinmyŏng	18	
E205565	蔡申錫	Ch'ae Sinsŏk	18	
E103345	蔡壽	Ch'ae Su	21	
E205577	蔡順從	Ch'ae Sunjong	19	
E205142	蔡碩年	Ch'ae Sŏngnyŏn	20	
E104873	蔡碩卿		20	
E201146	蔡潭	Ch'ae Tam	20	
E402077	蔡潭	Ch'ae Tam	17	
E202222	蔡圖	Ch'ae To	18	
E402078	蔡元敬	Ch'ae Wŏn'gyŏng	16	
E102329	蔡允恭	Ch'ae Yun'gong	20	
E104871	蔡允惠	Ch'ae Yunhye	20	
EB01818	蔡允寬	Ch'ae Yun'gwan	20	
E802656	蔡允敏	Ch'ae Yunmin	20	
E104872	蔡允文	Ch'ae Yunmun	20	
E104866	蔡允信	Ch'ae Yunsin	20	
E205625	蔡載	Ch'ae Chae	19	
E402459	蔡沼	Ch'ae So	17	
E205573	蔡貞孫	Ch'ae Malson	19	
E205570	蔡正孫	Ch'ae Chŏngson	19	
E000670	蔡徵	Ch'ae Ching	19	
